Loaded checkpoint from ckpt/sam_med3d_turbo.pth (epoch 0)
Epoch: 0/199
Dice Loss: 0.091957, CE Loss: 5.681052, Total: 5.773010
Dice Loss: 0.745844, CE Loss: 42.486938, Total: 43.232784
Dice Loss: 0.643084, CE Loss: 28.443346, Total: 29.086430
Dice Loss: 0.650245, CE Loss: 35.228580, Total: 35.878826
Dice Loss: 0.735912, CE Loss: 44.217445, Total: 44.953358
Dice Loss: 0.754454, CE Loss: 48.984596, Total: 49.739048
Dice Loss: 0.771275, CE Loss: 57.927738, Total: 58.699013
Dice Loss: 0.748587, CE Loss: 47.320782, Total: 48.069370
Dice Loss: 0.759518, CE Loss: 54.475880, Total: 55.235397
Dice Loss: 0.692307, CE Loss: 40.680984, Total: 41.373291
Dice Loss: 0.642861, CE Loss: 31.899687, Total: 32.542549
Dice Loss: 0.651419, CE Loss: 32.256149, Total: 32.907570
Dice Loss: 0.659195, CE Loss: 36.834240, Total: 37.493435
Dice Loss: 0.775533, CE Loss: 45.181145, Total: 45.956676
Dice Loss: 0.742796, CE Loss: 44.254120, Total: 44.996918
Dice Loss: 0.607335, CE Loss: 29.210482, Total: 29.817816
Dice Loss: 0.356854, CE Loss: 15.416395, Total: 15.773250
Dice Loss: 0.387395, CE Loss: 22.615326, Total: 23.002720
Dice Loss: 0.269011, CE Loss: 16.169443, Total: 16.438454
Dice Loss: 0.195194, CE Loss: 7.254085, Total: 7.449278
Dice Loss: 0.127970, CE Loss: 4.125260, Total: 4.253231
Dice Loss: 0.459787, CE Loss: 18.084936, Total: 18.544724
Dice Loss: 0.434585, CE Loss: 16.789326, Total: 17.223911
Dice Loss: 0.597032, CE Loss: 14.661282, Total: 15.258314
Dice Loss: 0.612598, CE Loss: 13.423006, Total: 14.035604
Dice Loss: 0.531119, CE Loss: 11.467523, Total: 11.998642
Dice Loss: 0.626704, CE Loss: 13.436021, Total: 14.062725
Dice Loss: 0.593029, CE Loss: 13.209606, Total: 13.802635
Dice Loss: 0.521062, CE Loss: 11.055021, Total: 11.576083
Dice Loss: 0.488884, CE Loss: 9.963703, Total: 10.452587
Dice Loss: 0.476480, CE Loss: 9.339016, Total: 9.815495
Dice Loss: 0.474386, CE Loss: 9.601184, Total: 10.075570
Dice Loss: 0.451830, CE Loss: 8.700211, Total: 9.152040
Dice Loss: 0.477396, CE Loss: 9.097144, Total: 9.574540
Dice Loss: 0.737422, CE Loss: 32.010864, Total: 32.748287
Dice Loss: 0.624650, CE Loss: 26.412132, Total: 27.036781
Dice Loss: 0.452696, CE Loss: 20.455379, Total: 20.908075
Dice Loss: 0.713694, CE Loss: 27.975693, Total: 28.689386
Dice Loss: 0.672539, CE Loss: 28.504417, Total: 29.176956
Dice Loss: 0.561754, CE Loss: 21.683647, Total: 22.245401
Dice Loss: 0.421280, CE Loss: 15.540291, Total: 15.961571
Dice Loss: 0.274680, CE Loss: 10.159035, Total: 10.433715
Dice Loss: 0.303585, CE Loss: 10.651716, Total: 10.955301
Dice Loss: 0.223715, CE Loss: 9.373501, Total: 9.597216
Dice Loss: 0.194345, CE Loss: 7.253512, Total: 7.447857
Dice Loss: 0.728327, CE Loss: 25.556450, Total: 26.284777
Dice Loss: 0.847784, CE Loss: 39.903046, Total: 40.750828
Dice Loss: 0.771038, CE Loss: 30.167351, Total: 30.938389
Dice Loss: 0.678299, CE Loss: 24.417124, Total: 25.095423
Dice Loss: 0.593666, CE Loss: 20.425907, Total: 21.019573
Dice Loss: 0.717261, CE Loss: 25.903385, Total: 26.620646
Dice Loss: 0.351727, CE Loss: 8.642001, Total: 8.993728
Dice Loss: 0.267711, CE Loss: 5.178514, Total: 5.446225
Dice Loss: 0.206300, CE Loss: 2.438796, Total: 2.645096
Dice Loss: 0.459749, CE Loss: 12.127516, Total: 12.587264
Dice Loss: 0.357251, CE Loss: 8.122752, Total: 8.480003
Dice Loss: 0.529131, CE Loss: 17.280241, Total: 17.809372
Dice Loss: 0.320811, CE Loss: 6.471459, Total: 6.792271
Dice Loss: 0.422638, CE Loss: 11.925167, Total: 12.347805
Dice Loss: 0.508939, CE Loss: 12.569543, Total: 13.078483
Dice Loss: 0.338172, CE Loss: 7.513218, Total: 7.851390
Dice Loss: 0.147778, CE Loss: -1.370802, Total: -1.223024
Dice Loss: 0.134081, CE Loss: -1.355204, Total: -1.221123
Dice Loss: 0.208700, CE Loss: 1.683089, Total: 1.891788
Dice Loss: 0.325728, CE Loss: 7.847164, Total: 8.172892
Dice Loss: 0.259896, CE Loss: 4.829407, Total: 5.089303
Dice Loss: 0.227371, CE Loss: 3.063264, Total: 3.290635
Dice Loss: 0.726357, CE Loss: 19.352972, Total: 20.079329
Dice Loss: 0.597087, CE Loss: 17.182350, Total: 17.779438
Dice Loss: 0.748792, CE Loss: 20.435373, Total: 21.184166
Dice Loss: 0.639970, CE Loss: 15.926639, Total: 16.566608
Dice Loss: 0.450238, CE Loss: 11.254976, Total: 11.705215
Dice Loss: 0.566358, CE Loss: 11.795042, Total: 12.361400
Dice Loss: 0.587292, CE Loss: 14.707740, Total: 15.295033
Dice Loss: 0.518998, CE Loss: 14.385005, Total: 14.904003
Dice Loss: 0.369927, CE Loss: 11.023424, Total: 11.393351
Dice Loss: 0.551845, CE Loss: 15.416380, Total: 15.968225
Dice Loss: 0.539741, CE Loss: 15.517399, Total: 16.057140
Dice Loss: 0.748888, CE Loss: 46.974655, Total: 47.723541
Dice Loss: 0.753977, CE Loss: 56.052406, Total: 56.806385
Dice Loss: 0.721600, CE Loss: 41.217880, Total: 41.939480
Dice Loss: 0.705359, CE Loss: 39.193424, Total: 39.898785
Dice Loss: 0.687425, CE Loss: 32.508259, Total: 33.195683
Dice Loss: 0.556237, CE Loss: 22.612301, Total: 23.168537
Dice Loss: 0.534084, CE Loss: 20.809307, Total: 21.343391
Dice Loss: 0.437868, CE Loss: 13.608366, Total: 14.046234
Dice Loss: 0.370501, CE Loss: 9.055656, Total: 9.426157
Dice Loss: 0.205695, CE Loss: -2.842471, Total: -2.636776
Dice Loss: 0.223902, CE Loss: -1.945097, Total: -1.721196
Dice Loss: 0.512457, CE Loss: 30.236570, Total: 30.749027
Dice Loss: 0.582473, CE Loss: 36.781132, Total: 37.363605
Dice Loss: 0.361822, CE Loss: 16.210594, Total: 16.572416
Dice Loss: 0.229201, CE Loss: 5.606454, Total: 5.835655
Dice Loss: 0.247711, CE Loss: 3.907774, Total: 4.155485
Dice Loss: 0.359621, CE Loss: 15.790231, Total: 16.149853
Dice Loss: 0.463708, CE Loss: 23.347752, Total: 23.811460
Dice Loss: 0.436399, CE Loss: 20.181797, Total: 20.618196
Dice Loss: 0.381361, CE Loss: 15.878312, Total: 16.259674
Dice Loss: 0.520501, CE Loss: 26.710663, Total: 27.231163
